"","NOM_REG","NOM_PROV","NOM_COM","id_opcion","descripcion","valor"
"30","Región de La Araucanía","Malleco","LOS SAUCES",4,"Acceso y calidad de la vivienda",0
"31","Región de La Araucanía","Malleco","LOS SAUCES",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"32","Región de La Araucanía","Malleco","LOS SAUCES",6,"Reducir la impunidad y la delincuencia",0
"33","Región de La Araucanía","Malleco","LOS SAUCES",7,"Ampliar el acceso al agua",0
"34","Región de La Araucanía","Malleco","LOS SAUCES",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"35","Región de La Araucanía","Malleco","LOS SAUCES",9,"Transporte público (calidad, acceso y precio",0
"36","Región de La Araucanía","Malleco","LOS SAUCES",10,"Cuidado del medio ambiente y recursos naturales",0
"37","Región de La Araucanía","Malleco","LOS SAUCES",11,"Reducir costos de servicios básicos",0
"38","Región de La Araucanía","Malleco","LOS SAUCES",12,"Nulos",0
"39","Región de La Araucanía","Malleco","LOS SAUCES",13,"Blancos",0
"40","Región de La Araucanía","Malleco","LUMACO",1,"Acceso y calidad a la ed. pública",633
"41","Región de La Araucanía","Malleco","LUMACO",2,"Deuda universitaria (CAE y otros)",180
"42","Región de La Araucanía","Malleco","LUMACO",3,"Reducir la desigualidad de ingresos",177
"43","Región de La Araucanía","Malleco","LUMACO",4,"Acceso y calidad de la vivienda",268
"44","Región de La Araucanía","Malleco","LUMACO",5,"Mejorar la calidad de la salud pública y su financiamiento",755
"45","Región de La Araucanía","Malleco","LUMACO",6,"Reducir la impunidad y la delincuencia",61
"46","Región de La Araucanía","Malleco","LUMACO",7,"Ampliar el acceso al agua",219
"47","Región de La Araucanía","Malleco","LUMACO",8,"Mejorar las pensiones y dignificar la calidad de vida",807
"48","Región de La Araucanía","Malleco","LUMACO",9,"Transporte público (calidad, acceso y precio",41
"49","Región de La Araucanía","Malleco","LUMACO",10,"Cuidado del medio ambiente y recursos naturales",166
"50","Región de La Araucanía","Malleco","LUMACO",11,"Reducir costos de servicios básicos",243
"51","Región de La Araucanía","Malleco","LUMACO",12,"Nulos",29
"52","Región de La Araucanía","Malleco","LUMACO",13,"Blancos",9
"53","Región de La Araucanía","Malleco","PUREN",1,"Acceso y calidad a la ed. pública",0
"54","Región de La Araucanía","Malleco","PUREN",2,"Deuda universitaria (CAE y otros)",0
"55","Región de La Araucanía","Malleco","PUREN",3,"Reducir la desigualidad de ingresos",0
"56","Región de La Araucanía","Malleco","PUREN",4,"Acceso y calidad de la vivienda",0
"57","Región de La Araucanía","Malleco","PUREN",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"58","Región de La Araucanía","Malleco","PUREN",6,"Reducir la impunidad y la delincuencia",0
"59","Región de La Araucanía","Malleco","PUREN",7,"Ampliar el acceso al agua",0
"60","Región de La Araucanía","Malleco","PUREN",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"61","Región de La Araucanía","Malleco","PUREN",9,"Transporte público (calidad, acceso y precio",0
"62","Región de La Araucanía","Malleco","PUREN",10,"Cuidado del medio ambiente y recursos naturales",0
"63","Región de La Araucanía","Malleco","PUREN",11,"Reducir costos de servicios básicos",0
"64","Región de La Araucanía","Malleco","PUREN",12,"Nulos",0
"65","Región de La Araucanía","Malleco","PUREN",13,"Blancos",0
"66","Región de La Araucanía","Malleco","RENAICO",1,"Acceso y calidad a la ed. pública",0
"67","Región de La Araucanía","Malleco","RENAICO",2,"Deuda universitaria (CAE y otros)",0
"68","Región de La Araucanía","Malleco","RENAICO",3,"Reducir la desigualidad de ingresos",0
"69","Región de La Araucanía","Malleco","RENAICO",4,"Acceso y calidad de la vivienda",0
"70","Región de La Araucanía","Malleco","RENAICO",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"71","Región de La Araucanía","Malleco","RENAICO",6,"Reducir la impunidad y la delincuencia",0
"72","Región de La Araucanía","Malleco","RENAICO",7,"Ampliar el acceso al agua",0
"73","Región de La Araucanía","Malleco","RENAICO",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"74","Región de La Araucanía","Malleco","RENAICO",9,"Transporte público (calidad, acceso y precio",0
"75","Región de La Araucanía","Malleco","RENAICO",10,"Cuidado del medio ambiente y recursos naturales",0
"76","Región de La Araucanía","Malleco","RENAICO",11,"Reducir costos de servicios básicos",0
"77","Región de La Araucanía","Malleco","RENAICO",12,"Nulos",0
"78","Región de La Araucanía","Malleco","RENAICO",13,"Blancos",0
"79","Región de La Araucanía","Malleco","TRAIGUEN",1,"Acceso y calidad a la ed. pública",0
"80","Región de La Araucanía","Malleco","TRAIGUEN",2,"Deuda universitaria (CAE y otros)",0
"81","Región de La Araucanía","Malleco","TRAIGUEN",3,"Reducir la desigualidad de ingresos",0
"82","Región de La Araucanía","Malleco","TRAIGUEN",4,"Acceso y calidad de la vivienda",0
"83","Región de La Araucanía","Malleco","TRAIGUEN",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"84","Región de La Araucanía","Malleco","TRAIGUEN",6,"Reducir la impunidad y la delincuencia",0
"85","Región de La Araucanía","Malleco","TRAIGUEN",7,"Ampliar el acceso al agua",0
"86","Región de La Araucanía","Malleco","TRAIGUEN",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"87","Región de La Araucanía","Malleco","TRAIGUEN",9,"Transporte público (calidad, acceso y precio",0
"88","Región de La Araucanía","Malleco","TRAIGUEN",10,"Cuidado del medio ambiente y recursos naturales",0
"89","Región de La Araucanía","Malleco","TRAIGUEN",11,"Reducir costos de servicios básicos",0
"90","Región de La Araucanía","Malleco","TRAIGUEN",12,"Nulos",0
"91","Región de La Araucanía","Malleco","TRAIGUEN",13,"Blancos",0
"92","Región de La Araucanía","Malleco","VICTORIA",1,"Acceso y calidad a la ed. pública",0
"93","Región de La Araucanía","Malleco","VICTORIA",2,"Deuda universitaria (CAE y otros)",0
"94","Región de La Araucanía","Malleco","VICTORIA",3,"Reducir la desigualidad de ingresos",0
"95","Región de La Araucanía","Malleco","VICTORIA",4,"Acceso y calidad de la vivienda",0
"96","Región de La Araucanía","Malleco","VICTORIA",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"97","Región de La Araucanía","Malleco","VICTORIA",6,"Reducir la impunidad y la delincuencia",0
"98","Región de La Araucanía","Malleco","VICTORIA",7,"Ampliar el acceso al agua",0
"99","Región de La Araucanía","Malleco","VICTORIA",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"100","Región de La Araucanía","Malleco","VICTORIA",9,"Transporte público (calidad, acceso y precio",0
"101","Región de La Araucanía","Malleco","VICTORIA",10,"Cuidado del medio ambiente y recursos naturales",0
"102","Región de La Araucanía","Malleco","VICTORIA",11,"Reducir costos de servicios básicos",0
"103","Región de La Araucanía","Malleco","VICTORIA",12,"Nulos",0
"104","Región de La Araucanía","Malleco","VICTORIA",13,"Blancos",0
"105","Región de Los Lagos","Chiloe","CASTRO",1,"Acceso y calidad a la ed. pública",3992
"106","Región de Los Lagos","Chiloe","CASTRO",2,"Deuda universitaria (CAE y otros)",3325
"107","Región de Los Lagos","Chiloe","CASTRO",3,"Reducir la desigualidad de ingresos",1066
"108","Región de Los Lagos","Chiloe","CASTRO",4,"Acceso y calidad de la vivienda",1304
"109","Región de Los Lagos","Chiloe","CASTRO",5,"Mejorar la calidad de la salud pública y su financiamiento",2879
"110","Región de Los Lagos","Chiloe","CASTRO",6,"Reducir la impunidad y la delincuencia",1148
"111","Región de Los Lagos","Chiloe","CASTRO",7,"Ampliar el acceso al agua",1102
"112","Región de Los Lagos","Chiloe","CASTRO",8,"Mejorar las pensiones y dignificar la calidad de vida",3093
"113","Región de Los Lagos","Chiloe","CASTRO",9,"Transporte público (calidad, acceso y precio",892
"114","Región de Los Lagos","Chiloe","CASTRO",10,"Cuidado del medio ambiente y recursos naturales",1211
"115","Región de Los Lagos","Chiloe","CASTRO",11,"Reducir costos de servicios básicos",3328
"116","Región de Los Lagos","Chiloe","CASTRO",12,"Nulos",98
"117","Región de Los Lagos","Chiloe","CASTRO",13,"Blancos",83
"118","Región de Los Lagos","Chiloe","CHONCHI",1,"Acceso y calidad a la ed. pública",0
"119","Región de Los Lagos","Chiloe","CHONCHI",2,"Deuda universitaria (CAE y otros)",0
"120","Región de Los Lagos","Chiloe","CHONCHI",3,"Reducir la desigualidad de ingresos",0
"121","Región de Los Lagos","Chiloe","CHONCHI",4,"Acceso y calidad de la vivienda",0
"122","Región de Los Lagos","Chiloe","CHONCHI",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"123","Región de Los Lagos","Chiloe","CHONCHI",6,"Reducir la impunidad y la delincuencia",0
"124","Región de Los Lagos","Chiloe","CHONCHI",7,"Ampliar el acceso al agua",0
"125","Región de Los Lagos","Chiloe","CHONCHI",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"126","Región de Los Lagos","Chiloe","CHONCHI",9,"Transporte público (calidad, acceso y precio",0
"127","Región de Los Lagos","Chiloe","CHONCHI",10,"Cuidado del medio ambiente y recursos naturales",0
"128","Región de Los Lagos","Chiloe","CHONCHI",11,"Reducir costos de servicios básicos",0
"129","Región de Los Lagos","Chiloe","CHONCHI",12,"Nulos",0
"130","Región de Los Lagos","Chiloe","CHONCHI",13,"Blancos",0
"131","Región de Los Lagos","Chiloe","CURACO DE VELEZ",1,"Acceso y calidad a la ed. pública",0
"132","Región de Los Lagos","Chiloe","CURACO DE VELEZ",2,"Deuda universitaria (CAE y otros)",0
"133","Región de Los Lagos","Chiloe","CURACO DE VELEZ",3,"Reducir la desigualidad de ingresos",0
"134","Región de Los Lagos","Chiloe","CURACO DE VELEZ",4,"Acceso y calidad de la vivienda",0
"135","Región de Los Lagos","Chiloe","CURACO DE VELEZ",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"136","Región de Los Lagos","Chiloe","CURACO DE VELEZ",6,"Reducir la impunidad y la delincuencia",0
"137","Región de Los Lagos","Chiloe","CURACO DE VELEZ",7,"Ampliar el acceso al agua",0
"138","Región de Los Lagos","Chiloe","CURACO DE VELEZ",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"139","Región de Los Lagos","Chiloe","CURACO DE VELEZ",9,"Transporte público (calidad, acceso y precio",0
"140","Región de Los Lagos","Chiloe","CURACO DE VELEZ",10,"Cuidado del medio ambiente y recursos naturales",0
"141","Región de Los Lagos","Chiloe","CURACO DE VELEZ",11,"Reducir costos de servicios básicos",0
"142","Región de Los Lagos","Chiloe","CURACO DE VELEZ",12,"Nulos",0
"143","Región de Los Lagos","Chiloe","CURACO DE VELEZ",13,"Blancos",0
"144","Región de Los Lagos","Chiloe","DALCAHUE",1,"Acceso y calidad a la ed. pública",0
"145","Región de Los Lagos","Chiloe","DALCAHUE",2,"Deuda universitaria (CAE y otros)",0
"146","Región de Los Lagos","Chiloe","DALCAHUE",3,"Reducir la desigualidad de ingresos",0
"147","Región de Los Lagos","Chiloe","DALCAHUE",4,"Acceso y calidad de la vivienda",0
"148","Región de Los Lagos","Chiloe","DALCAHUE",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"149","Región de Los Lagos","Chiloe","DALCAHUE",6,"Reducir la impunidad y la delincuencia",0
"150","Región de Los Lagos","Chiloe","DALCAHUE",7,"Ampliar el acceso al agua",0
"151","Región de Los Lagos","Chiloe","DALCAHUE",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"152","Región de Los Lagos","Chiloe","DALCAHUE",9,"Transporte público (calidad, acceso y precio",0
"153","Región de Los Lagos","Chiloe","DALCAHUE",10,"Cuidado del medio ambiente y recursos naturales",0
"154","Región de Los Lagos","Chiloe","DALCAHUE",11,"Reducir costos de servicios básicos",0
"155","Región de Los Lagos","Chiloe","DALCAHUE",12,"Nulos",0
"156","Región de Los Lagos","Chiloe","DALCAHUE",13,"Blancos",0
"157","Región de Los Lagos","Chiloe","PUQUELDON",1,"Acceso y calidad a la ed. pública",0
"158","Región de Los Lagos","Chiloe","PUQUELDON",2,"Deuda universitaria (CAE y otros)",0
"159","Región de Los Lagos","Chiloe","PUQUELDON",3,"Reducir la desigualidad de ingresos",0
"160","Región de Los Lagos","Chiloe","PUQUELDON",4,"Acceso y calidad de la vivienda",0
"161","Región de Los Lagos","Chiloe","PUQUELDON",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"162","Región de Los Lagos","Chiloe","PUQUELDON",6,"Reducir la impunidad y la delincuencia",0
"163","Región de Los Lagos","Chiloe","PUQUELDON",7,"Ampliar el acceso al agua",0
"164","Región de Los Lagos","Chiloe","PUQUELDON",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"165","Región de Los Lagos","Chiloe","PUQUELDON",9,"Transporte público (calidad, acceso y precio",0
"166","Región de Los Lagos","Chiloe","PUQUELDON",10,"Cuidado del medio ambiente y recursos naturales",0
"167","Región de Los Lagos","Chiloe","PUQUELDON",11,"Reducir costos de servicios básicos",0
"168","Región de Los Lagos","Chiloe","PUQUELDON",12,"Nulos",0
"169","Región de Los Lagos","Chiloe","PUQUELDON",13,"Blancos",0
"170","Región de Los Lagos","Chiloe","QUEILEN",1,"Acceso y calidad a la ed. pública",0
"171","Región de Los Lagos","Chiloe","QUEILEN",2,"Deuda universitaria (CAE y otros)",600
"172","Región de Los Lagos","Chiloe","QUEILEN",3,"Reducir la desigualidad de ingresos",0
"173","Región de Los Lagos","Chiloe","QUEILEN",4,"Acceso y calidad de la vivienda",0
"174","Región de Los Lagos","Chiloe","QUEILEN",5,"Mejorar la calidad de la salud pública y su financiamiento",668
"175","Región de Los Lagos","Chiloe","QUEILEN",6,"Reducir la impunidad y la delincuencia",0
"176","Región de Los Lagos","Chiloe","QUEILEN",7,"Ampliar el acceso al agua",0
"177","Región de Los Lagos","Chiloe","QUEILEN",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"178","Región de Los Lagos","Chiloe","QUEILEN",9,"Transporte público (calidad, acceso y precio",0
"179","Región de Los Lagos","Chiloe","QUEILEN",10,"Cuidado del medio ambiente y recursos naturales",0
"180","Región de Los Lagos","Chiloe","QUEILEN",11,"Reducir costos de servicios básicos",0
"181","Región de Los Lagos","Chiloe","QUEILEN",12,"Nulos",0
"182","Región de Los Lagos","Chiloe","QUEILEN",13,"Blancos",0
"183","Región de Los Lagos","Chiloe","QUELLON",1,"Acceso y calidad a la ed. pública",0
"184","Región de Los Lagos","Chiloe","QUELLON",2,"Deuda universitaria (CAE y otros)",0
"185","Región de Los Lagos","Chiloe","QUELLON",3,"Reducir la desigualidad de ingresos",0
"186","Región de Los Lagos","Chiloe","QUELLON",4,"Acceso y calidad de la vivienda",0
"187","Región de Los Lagos","Chiloe","QUELLON",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"188","Región de Los Lagos","Chiloe","QUELLON",6,"Reducir la impunidad y la delincuencia",0
"189","Región de Los Lagos","Chiloe","QUELLON",7,"Ampliar el acceso al agua",0
"190","Región de Los Lagos","Chiloe","QUELLON",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"191","Región de Los Lagos","Chiloe","QUELLON",9,"Transporte público (calidad, acceso y precio",0
"192","Región de Los Lagos","Chiloe","QUELLON",10,"Cuidado del medio ambiente y recursos naturales",0
"193","Región de Los Lagos","Chiloe","QUELLON",11,"Reducir costos de servicios básicos",0
"194","Región de Los Lagos","Chiloe","QUELLON",12,"Nulos",0
"195","Región de Los Lagos","Chiloe","QUELLON",13,"Blancos",0
"196","Región de Los Lagos","Chiloe","QUEMCHI",1,"Acceso y calidad a la ed. pública",0
"197","Región de Los Lagos","Chiloe","QUEMCHI",2,"Deuda universitaria (CAE y otros)",0
"198","Región de Los Lagos","Chiloe","QUEMCHI",3,"Reducir la desigualidad de ingresos",0
"199","Región de Los Lagos","Chiloe","QUEMCHI",4,"Acceso y calidad de la vivienda",0
"200","Región de Los Lagos","Chiloe","QUEMCHI",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"201","Región de Los Lagos","Chiloe","QUEMCHI",6,"Reducir la impunidad y la delincuencia",0
"202","Región de Los Lagos","Chiloe","QUEMCHI",7,"Ampliar el acceso al agua",0
"203","Región de Los Lagos","Chiloe","QUEMCHI",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"204","Región de Los Lagos","Chiloe","QUEMCHI",9,"Transporte público (calidad, acceso y precio",0
"205","Región de Los Lagos","Chiloe","QUEMCHI",10,"Cuidado del medio ambiente y recursos naturales",0
"206","Región de Los Lagos","Chiloe","QUEMCHI",11,"Reducir costos de servicios básicos",0
"207","Región de Los Lagos","Chiloe","QUEMCHI",12,"Nulos",0
"208","Región de Los Lagos","Chiloe","QUEMCHI",13,"Blancos",0
"209","Región de Los Lagos","Chiloe","QUINCHAO",1,"Acceso y calidad a la ed. pública",0
"210","Región de Los Lagos","Chiloe","QUINCHAO",2,"Deuda universitaria (CAE y otros)",0
"211","Región de Los Lagos","Chiloe","QUINCHAO",3,"Reducir la desigualidad de ingresos",0
"212","Región de Los Lagos","Chiloe","QUINCHAO",4,"Acceso y calidad de la vivienda",0
"213","Región de Los Lagos","Chiloe","QUINCHAO",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"214","Región de Los Lagos","Chiloe","QUINCHAO",6,"Reducir la impunidad y la delincuencia",0
"215","Región de Los Lagos","Chiloe","QUINCHAO",7,"Ampliar el acceso al agua",0
"216","Región de Los Lagos","Chiloe","QUINCHAO",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"217","Región de Los Lagos","Chiloe","QUINCHAO",9,"Transporte público (calidad, acceso y precio",0
"218","Región de Los Lagos","Chiloe","QUINCHAO",10,"Cuidado del medio ambiente y recursos naturales",0
"219","Región de Los Lagos","Chiloe","QUINCHAO",11,"Reducir costos de servicios básicos",0
"220","Región de Los Lagos","Chiloe","QUINCHAO",12,"Nulos",0
"221","Región de Los Lagos","Chiloe","QUINCHAO",13,"Blancos",0
"222","Región de Los Lagos","Llanquihue","CALBUCO",1,"Acceso y calidad a la ed. pública",2028
"223","Región de Los Lagos","Llanquihue","CALBUCO",2,"Deuda universitaria (CAE y otros)",1131
"224","Región de Los Lagos","Llanquihue","CALBUCO",3,"Reducir la desigualidad de ingresos",847
"225","Región de Los Lagos","Llanquihue","CALBUCO",4,"Acceso y calidad de la vivienda",595
"226","Región de Los Lagos","Llanquihue","CALBUCO",5,"Mejorar la calidad de la salud pública y su financiamiento",2480
"227","Región de Los Lagos","Llanquihue","CALBUCO",6,"Reducir la impunidad y la delincuencia",309
"228","Región de Los Lagos","Llanquihue","CALBUCO",7,"Ampliar el acceso al agua",340
"229","Región de Los Lagos","Llanquihue","CALBUCO",8,"Mejorar las pensiones y dignificar la calidad de vida",3121
"230","Región de Los Lagos","Llanquihue","CALBUCO",9,"Transporte público (calidad, acceso y precio",188
"231","Región de Los Lagos","Llanquihue","CALBUCO",10,"Cuidado del medio ambiente y recursos naturales",606
"232","Región de Los Lagos","Llanquihue","CALBUCO",11,"Reducir costos de servicios básicos",1129
"233","Región de Los Lagos","Llanquihue","CALBUCO",12,"Nulos",54
"234","Región de Los Lagos","Llanquihue","CALBUCO",13,"Blancos",17
"235","Región de Los Lagos","Llanquihue","COCHAMO",1,"Acceso y calidad a la ed. pública",173
"236","Región de Los Lagos","Llanquihue","COCHAMO",2,"Deuda universitaria (CAE y otros)",71
"237","Región de Los Lagos","Llanquihue","COCHAMO",3,"Reducir la desigualidad de ingresos",95
"238","Región de Los Lagos","Llanquihue","COCHAMO",4,"Acceso y calidad de la vivienda",47
"239","Región de Los Lagos","Llanquihue","COCHAMO",5,"Mejorar la calidad de la salud pública y su financiamiento",194
"240","Región de Los Lagos","Llanquihue","COCHAMO",6,"Reducir la impunidad y la delincuencia",34
"241","Región de Los Lagos","Llanquihue","COCHAMO",7,"Ampliar el acceso al agua",35
"242","Región de Los Lagos","Llanquihue","COCHAMO",8,"Mejorar las pensiones y dignificar la calidad de vida",225
"243","Región de Los Lagos","Llanquihue","COCHAMO",9,"Transporte público (calidad, acceso y precio",27
"244","Región de Los Lagos","Llanquihue","COCHAMO",10,"Cuidado del medio ambiente y recursos naturales",107
"245","Región de Los Lagos","Llanquihue","COCHAMO",11,"Reducir costos de servicios básicos",50
"246","Región de Los Lagos","Llanquihue","COCHAMO",12,"Nulos",10
"247","Región de Los Lagos","Llanquihue","COCHAMO",13,"Blancos",0
"248","Región de Los Lagos","Llanquihue","FRESIA",1,"Acceso y calidad a la ed. pública",0
"249","Región de Los Lagos","Llanquihue","FRESIA",2,"Deuda universitaria (CAE y otros)",0
"250","Región de Los Lagos","Llanquihue","FRESIA",3,"Reducir la desigualidad de ingresos",0
"251","Región de Los Lagos","Llanquihue","FRESIA",4,"Acceso y calidad de la vivienda",0
"252","Región de Los Lagos","Llanquihue","FRESIA",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"253","Región de Los Lagos","Llanquihue","FRESIA",6,"Reducir la impunidad y la delincuencia",0
"254","Región de Los Lagos","Llanquihue","FRESIA",7,"Ampliar el acceso al agua",0
"255","Región de Los Lagos","Llanquihue","FRESIA",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"256","Región de Los Lagos","Llanquihue","FRESIA",9,"Transporte público (calidad, acceso y precio",0
"257","Región de Los Lagos","Llanquihue","FRESIA",10,"Cuidado del medio ambiente y recursos naturales",0
"258","Región de Los Lagos","Llanquihue","FRESIA",11,"Reducir costos de servicios básicos",0
"259","Región de Los Lagos","Llanquihue","FRESIA",12,"Nulos",0
"260","Región de Los Lagos","Llanquihue","FRESIA",13,"Blancos",0
"261","Región de Los Lagos","Llanquihue","FRUTILLAR",1,"Acceso y calidad a la ed. pública",0
"262","Región de Los Lagos","Llanquihue","FRUTILLAR",2,"Deuda universitaria (CAE y otros)",0
"263","Región de Los Lagos","Llanquihue","FRUTILLAR",3,"Reducir la desigualidad de ingresos",0
"264","Región de Los Lagos","Llanquihue","FRUTILLAR",4,"Acceso y calidad de la vivienda",0
"265","Región de Los Lagos","Llanquihue","FRUTILLAR",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"266","Región de Los Lagos","Llanquihue","FRUTILLAR",6,"Reducir la impunidad y la delincuencia",0
"267","Región de Los Lagos","Llanquihue","FRUTILLAR",7,"Ampliar el acceso al agua",0
"268","Región de Los Lagos","Llanquihue","FRUTILLAR",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"269","Región de Los Lagos","Llanquihue","FRUTILLAR",9,"Transporte público (calidad, acceso y precio",0
"270","Región de Los Lagos","Llanquihue","FRUTILLAR",10,"Cuidado del medio ambiente y recursos naturales",0
"271","Región de Los Lagos","Llanquihue","FRUTILLAR",11,"Reducir costos de servicios básicos",0
"272","Región de Los Lagos","Llanquihue","FRUTILLAR",12,"Nulos",0
"273","Región de Los Lagos","Llanquihue","FRUTILLAR",13,"Blancos",0
"274","Región de Los Lagos","Llanquihue","LLANQUIHUE",1,"Acceso y calidad a la ed. pública",0
"275","Región de Los Lagos","Llanquihue","LLANQUIHUE",2,"Deuda universitaria (CAE y otros)",0
"276","Región de Los Lagos","Llanquihue","LLANQUIHUE",3,"Reducir la desigualidad de ingresos",0
"277","Región de Los Lagos","Llanquihue","LLANQUIHUE",4,"Acceso y calidad de la vivienda",0
"278","Región de Los Lagos","Llanquihue","LLANQUIHUE",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"279","Región de Los Lagos","Llanquihue","LLANQUIHUE",6,"Reducir la impunidad y la delincuencia",0
"280","Región de Los Lagos","Llanquihue","LLANQUIHUE",7,"Ampliar el acceso al agua",0
"281","Región de Los Lagos","Llanquihue","LLANQUIHUE",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"282","Región de Los Lagos","Llanquihue","LLANQUIHUE",9,"Transporte público (calidad, acceso y precio",0
"283","Región de Los Lagos","Llanquihue","LLANQUIHUE",10,"Cuidado del medio ambiente y recursos naturales",0
"284","Región de Los Lagos","Llanquihue","LLANQUIHUE",11,"Reducir costos de servicios básicos",0
"285","Región de Los Lagos","Llanquihue","LLANQUIHUE",12,"Nulos",0
"286","Región de Los Lagos","Llanquihue","LLANQUIHUE",13,"Blancos",0
"287","Región de Los Lagos","Llanquihue","LOS MUERMOS",1,"Acceso y calidad a la ed. pública",0
"288","Región de Los Lagos","Llanquihue","LOS MUERMOS",2,"Deuda universitaria (CAE y otros)",0
"289","Región de Los Lagos","Llanquihue","LOS MUERMOS",3,"Reducir la desigualidad de ingresos",0
"290","Región de Los Lagos","Llanquihue","LOS MUERMOS",4,"Acceso y calidad de la vivienda",0
"291","Región de Los Lagos","Llanquihue","LOS MUERMOS",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"292","Región de Los Lagos","Llanquihue","LOS MUERMOS",6,"Reducir la impunidad y la delincuencia",0
"293","Región de Los Lagos","Llanquihue","LOS MUERMOS",7,"Ampliar el acceso al agua",0
"294","Región de Los Lagos","Llanquihue","LOS MUERMOS",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"295","Región de Los Lagos","Llanquihue","LOS MUERMOS",9,"Transporte público (calidad, acceso y precio",0
